well;ID;sample;dominant_family;percentage;reads_spikein;reads
I23-1331-J09_S2087_R1_001;I23-1331-J09;sample;Moraxellaceae;26,14;5439;56968
I23-1331-J10_S2103_R1_001;I23-1331-J10;sample;0;0;1;257
I23-1331-J11_S2119_R1_001;I23-1331-J11;sample;Alcaligenaceae;40,67;11771;141668
I23-1331-J12_S2135_R1_001;I23-1331-J12;sample;0;0;1;292
I23-1331-J13_S2151_R1_001;I23-1331-J13;sample;Bacillaceae;91,69;9730;129173
I23-1331-J14_S2167_R1_001;I23-1331-J14;sample;Mycobacteriaceae;18,66;5305;77573
I23-1331-J15_S2183_R1_001;I23-1331-J15;sample;Streptomycetaceae;75;20;441
I23-1331-J16_S2199_R1_001;I23-1331-J16;sample;Pseudomonadaceae;20;5;363
I23-1331-J17_S2215_R1_001;I23-1331-J17;sample;Pseudomonadaceae;100;1;229
I23-1331-J18_S2231_R1_001;I23-1331-J18;sample;Micrococcaceae;30,59;961;9276
I23-1331-J19_S2247_R1_001;I23-1331-J19;sample;Alcaligenaceae;31,13;4504;41819
I23-1331-J20_S2263_R1_001;I23-1331-J20;sample;Caulobacteraceae;14,54;337;3480
I23-1331-J21_S2279_R1_001;I23-1331-J21;sample;Comamonadaceae;57,01;1868;17430
I23-1331-J22_S2295_R1_001;I23-1331-J22;sample;Microbacteriaceae;10,76;1952;26199
I23-1331-J23_S2311_R1_001;I23-1331-J23;sample;Bacillaceae;93,27;2572;27276
I23-1331-J24_S2327_R1_001;I23-1331-J24;sample;Micrococcaceae;32,19;1432;13369
I23-1331-K01_S1960_R1_001;I23-1331-K01;sample;Microbacteriaceae;18,59;4701;47449
I23-1331-K02_S1976_R1_001;I23-1331-K02;sample;Microbacteriaceae;0,98;204;2083
I23-1331-K03_S1992_R1_001;I23-1331-K03;sample;Alcaligenaceae;50,46;6088;69870
I23-1331-K04_S2008_R1_001;I23-1331-K04;sample;Microbacteriaceae;21,05;9362;121037
I23-1331-K05_S2024_R1_001;I23-1331-K05;sample;Pseudomonadaceae;59,43;8815;105126
I23-1331-K06_S2040_R1_001;I23-1331-K06;sample;Pseudomonadaceae;62,02;9364;120333
I23-1331-K07_S2056_R1_001;I23-1331-K07;sample;Pseudomonadaceae;61,51;7181;96250
I23-1331-K08_S2072_R1_001;I23-1331-K08;sample;Microbacteriaceae;84,78;9553;131557
I23-1331-K09_S2088_R1_001;I23-1331-K09;sample;Pseudomonadaceae;55,9;1814;19361
I23-1331-K10_S2104_R1_001;I23-1331-K10;sample;0;0;1;228
